category,question,answer
상설전시관_성인,상설전시관 성인 요금은 얼마인가요?,"성인(19세 이상)은 개인 2,000원이에요. 단체 이용은 불가해요."
상설전시관_청소년,상설전시관 청소년 요금은 얼마인가요?,"청소년(13~18세)은 개인 1,000원이에요. 단체 이용은 불가해요."
상설전시관_초등,상설전시관 초등학생 요금은 얼마인가요?,"초등학생(7~12세)은 개인 1,000원, 단체 500원이에요."
상설전시관_유아,상설전시관 유아 요금은 얼마인가요?,"유아(6세 이하)는 무료예요."
천체투영관_성인,천체투영관 성인 요금은 얼마인가요?,"성인(19세 이상)은 1,500원이에요."
천체투영관_청소년,천체투영관 청소년 요금은 얼마인가요?,"청소년(13~18세)은 1,000원이에요."
천체투영관_초등,천체투영관 초등학생 요금은 얼마인가요?,"초등학생(7~12세)은 1,000원이에요."
천체투영관_유아,천체투영관 유아 요금은 얼마인가요?,"유아(4~6세)는 1,000원이에요. 성인 보호자 동반 및 결제 시 이용 가능해요."
연나이,연나이는 어떻게 계산하나요?,"연나이는 현재년도에서 출생년도를 뺀 값이에요. 예를 들어 2026년 기준 2020년생은 6세예요."
우대고객_정의,우대고객은 누구인가요?,"65세 이상 경로우대자, 과학기술유공자, 장애인, 국가유공자, 기초생활수급자 및 차상위계층, 한부모가족 지원대상자예요. 위에 언급된 대상 외에는 우대고객에 포함되지 않아요. (예시: 병역명문가 등)"
우대고객_상설,상설전시관 우대고객 요금은 어떻게 되나요?,"상설전시관 우대고객은 무료예요. 인터넷 예약자는 일반요금으로 결제 후 과학관 현장에서 할인된 금액으로 재결제해주세요."
우대고객_천체,천체투영관 우대고객 요금은 어떻게 되나요?,"천체투영관 우대고객은 1,000원이에요."
장애인_중증_상설,중증장애인 상설전시관 할인은 어떻게 되나요?,"중증장애인(1~3급)은 본인과 동반보호자 1인이 무료예요."
장애인_경증_상설,경증장애인 상설전시관 할인은 어떻게 되나요?,"경증장애인(4급 이상)은 본인만 무료예요."
장애인_중증_천체,중증장애인 천체투영관 할인은 어떻게 되나요?,"중증장애인(1~3급)은 본인과 동반보호자 1인이 우대고객 요금(1,000원)이 적용돼요."
장애인_경증_천체,경증장애인 천체투영관 할인은 어떻게 되나요?,"경증장애인(4급 이상)은 본인만 우대고객 요금(1,000원)이 적용돼요."
다자녀,다자녀 할인이 있나요?,"다자녀카드 보유자는 상설전시관 개인요금의 50% 할인을 받을 수 있어요. 신분증과 지역에서 발급한 카드를 지참해주세요."
단체인솔자,단체 인솔자는 무료인가요?,"단체는 초등학생의 경우 20명당 인솔자 1명, 유아는 10명당 인솔자 1명 상설전시관 관람료가 면제돼요."
환불,환불은 어떻게 하나요?,"개인 관람객의 환불은 관람 당일 오전 10시 전까지 신청콕에서 전체 취소만 직접 가능해요."
증빙서류,우대고객은 무엇을 지참해야 하나요?,"우대고객은 신분증과 증명서를 반드시 지참해주세요."
입장제한,누구의 입장이 제한되나요?,"어린이들의 안전한 관람을 위해 어린이를 동반하지 않은 성인 및 청소년, 보호자를 동반하지 않은 9세 이하 어린이의 입장을 제한하고 있어요."
바퀴신발,바퀴 달린 신발을 신어도 되나요?,"안전한 관람을 위해 바퀴 달린 신발, 인라인 스케이트, 킥보드 등의 착용 및 휴대를 삼가해 주세요."
애완동물,애완동물을 데리고 갈 수 있나요?,"과학관 내에서는 시각장애 안내견 이외의 애완동물의 출입은 금지되어 있어요."
